,company,rating,location,headquarters,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
0,Google,4.4,"['CA', 'MI', 'TX', 'CA', 'CA', 'MA', 'IL', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA', 'CA', 'CA', 'CA', 'CA', 'NY', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA', 'CA', 'CA']","Mountain View, CA",10000+ employees, $10+ billion (USD) per year,1,1,3.3
1,Microsoft,4.3,"['WA', 'WA', 'WA', 'MA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'CA', 'WA', 'CA', 'NC', 'WA', 'WA', 'WA', 'CA', 'CA', 'WA', 'WA', 'WA', 'WA', 'CA', 'WA', 'WA']","Redmond, WA",10000+ employees, $10+ billion (USD) per year,1,1,3.1
2,Cisco Systems,4.2,"['NC', 'CA', 'CA', 'NC', 'CA', 'NC', 'CA', 'CA', 'CA', 'NC', 'CA', 'CA', 'CA', 'NC', 'NC', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA']","San Jose, CA",10000+ employees, $10+ billion (USD) per year,1,1,3
3,Intel Corporation,4.1,"['OR', 'OR', 'CA', 'AZ', 'CA', 'CA', 'AZ', 'Mexico', 'OR', 'AZ', 'CA', 'CA', 'OR', 'CA', 'AZ', 'OR', 'AZ', 'NM', 'CA', 'CA', 'Costa Rica', 'CA', 'AZ', 'CA', 'AZ']","Santa Clara, CA",10000+ employees, $10+ billion (USD) per year,1,1,3
4,Apple,4.1,"['TX', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'TX', 'CA', 'CA', 'CA', 'CA']","Cupertino, CA",10000+ employees, $10+ billion (USD) per year,1,1,3
5,Amazon,3.9,"['WA', 'WA', 'WA', 'WA', 'WA', 'Canada', 'Canada', 'WA', 'WA', 'WA', 'VA', 'WA', 'WA', 'WA', 'WA', 'Canada', 'Canada', 'Canada', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'Canada', 'Canada', 'WA']","Seattle, WA",10000+ employees, $10+ billion (USD) per year,1,1,3
6,IBM,3.8,"['VA', 'VA', 'VA', 'MD', 'VA', 'VA', 'VA', 'VA', 'MD', 'MD', 'MD', 'VA', 'MD', 'VA', 'VA', 'MD', 'NY', 'NC', 'VA', 'MD', 'MD', 'VA', 'VA', 'DC', 'VA']","Armonk, NY",10000+ employees, $10+ billion (USD) per year,0,1,2.8
7,Tata Consultancy Services,3.7,"['GA', 'NJ', 'IL', 'NJ', 'NY', 'NC', 'IL', 'OH', 'OH', 'NJ', 'NJ', 'NJ', 'TX', 'FL', 'NJ', 'NJ', 'NJ', 'MN', 'NJ', 'NJ', 'NJ', 'NY', 'NJ', 'NJ', 'NJ', 'AZ', 'NJ', 'NJ', 'TX', 'CA', 'IL', 'NJ', 'NJ', 'NJ', 'NJ', 'NY', 'NJ', 'NJ']",Mumbai (India),10000+ employees, $10+ billion (USD) per year,1,1,2.7
8,Infosys,3.1,"['NY', 'NJ', 'NY', 'NJ', 'NJ', 'NY', 'MS', 'PA', 'TN', 'TX', 'NJ', 'NY', 'NY', 'NJ', 'NJ', 'NY', 'NJ', 'NJ', 'NY', 'CA', 'NY']",Bengaluru (India),10000+ employees, $10+ billion (USD) per year,1,1,2.6
9,Wipro,2.9,"['GA', 'MA', 'OH', 'CA', 'OH', 'TX', 'TX', 'CA', 'MN', 'CA', 'NY', 'CA', 'MA', 'MN', 'VA', 'CA', 'CA', 'CA', 'CA', 'CA']",Bengaluru (India),10000+ employees, $5 to $10 billion (USD) per year,1,1,2.8
10,Oracle,3.6,"['TX', 'PA', 'WA', 'CA', 'MT', 'CA', 'MA', 'MA', 'CO', 'CA', 'CA', 'CA', 'PA', 'CA', 'GA', 'CA', 'FL', 'CA', 'CA', 'CA', 'OR', 'TX', 'VA', 'CA', 'CA', 'CA', 'CA', 'Canada', 'VA', 'CA', 'CA']","Redwood City, CA",10000+ employees, $10+ billion (USD) per year,1,1,2.9
11,HubSpot,4.7,"['MA', 'NH']","Cambridge, MA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,1,1,3.3
12,DocuSign,4.6,"['NC', 'IL', 'NY', 'CA', 'WA', 'Canada', 'CA', 'IL']","San Francisco, CA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,1,1,2.8
13,SAP,4.5,"['WA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA', 'CA']","Walldorf, Baden-Württemberg (Germany)",10000+ employees, $10+ billion (USD) per year,1,1,2.9
14,NVIDIA,4.6,"['TX', 'OR', 'WA', 'NC', 'OR', 'WA', 'MO', 'CA', 'CA', 'CA', 'Canada', 'MA']","Santa Clara, CA",10000+ employees, $5 to $10 billion (USD) per year,1,1,3.2
15,Ultimate Software,4.4,"['GA', 'GA', 'MO', 'NY', 'CA', 'CA', 'AZ', 'FL']","Weston, FL",5001 to 10000 employees, $1 to $2 billion (USD) per year,1,1,2.8
16,Paycom,4.4,"['GA', 'TX', 'MA', 'IL', 'TX', 'CO', 'TX', 'TX', 'CA', 'TX', 'CA', 'FL', 'WI', 'LA', 'NY', 'OK', 'NJ', 'CA', 'AZ', 'OR', 'CA', 'CA', 'WA', 'CT', 'CA', 'OK']","Oklahoma City, OK",1001 to 5000 employees, $500 million to $1 billion (USD) per year,1,1,3
17,MathWorks,4.4,"['MA', 'MI', 'MA', 'CA', 'MA', 'MI']","Natick, MA",1001 to 5000 employees, $1 to $2 billion (USD) per year,1,1,2.8
18,Intuit,4.4,"['CA', 'ID', 'CA', 'CA', 'TX', 'ID', 'Canada', 'VA', 'TX', 'CA', 'CA', 'Canada', 'CA', 'NY', 'CA', 'TX', 'NV', 'CA', 'CA', 'CA', 'CA', 'CA', 'AZ', 'DC', 'CA', 'CA', 'CA']","Mountain View, CA",5001 to 10000 employees, $2 to $5 billion (USD) per year,1,1,3
19,Salesforce,4.4,"['VA', 'VA', 'VA', 'IN', 'NJ', 'NY', 'CA', 'VA', 'CA', 'CA', 'CA', 'Canada', 'DC']","San Francisco, CA",10000+ employees, $10+ billion (USD) per year,1,1,3.3
