,company,rating,location,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
0,Google,4.4,4,1,10,1,1,3.3
1,Microsoft,4.3,4,1,10,1,1,3.1
2,Cisco Systems,4.2,4,1,10,1,1,3
3,Intel Corporation,4.1,4,1,10,1,1,3
4,Apple,4.1,4,1,10,1,1,3
5,Amazon,3.9,4,1,10,1,1,3
6,IBM,3.8,3,1,10,0,1,2.8
7,Tata Consultancy Services,3.7,2,1,10,1,1,2.7
8,Infosys,3.1,2,1,10,1,1,2.6
9,Wipro,2.9,4,1,10,1,1,2.8
10,Oracle,3.6,4,1,10,1,1,2.9
11,HubSpot,4.7,2,1,1,1,1,3.3
12,DocuSign,4.6,4,1,1,1,1,2.8
13,SAP,4.5,4,1,10,1,1,2.9
14,NVIDIA,4.6,4,1,10,1,1,3.2
15,Ultimate Software,4.4,4,1,2,1,1,2.8
16,Paycom,4.4,4,1,1,1,1,3
17,MathWorks,4.4,2,1,2,1,1,2.8
18,Intuit,4.4,4,1,5,1,1,3
19,Salesforce,4.4,4,1,10,1,1,3.3
20,Patni Computer Systems,4.3,3,1,1,0,0,3.1
21,Marlabs,4.4,2,1,0.5,0,1,2.4
22,Facebook,4.4,4,1,10,1,1,3.1
23,LinkedIn,4.3,4,1,10,1,1,3
24,VMware,4.2,4,1,10,1,1,3.1
25,Adobe,4.1,4,1,10,1,1,3.1
26,World Wide Technology,4.2,4,1,10,1,1,2.8
27,Twitter,4.1,2,1,5,1,1,3
28,Dell Technologies,4.1,3,1,10,1,1,2.9
29,UST Global,4.1,4,1,2,1,1,2.9
30,HP Inc.,4.1,4,1,0.001,1,1,2.8
31,AMD,4,2,1,5,0,1,3
32,Epic,4,1,1,5,1,1,2.9
33,Autodesk,4.1,4,1,5,1,1,2.9
34,Yahoo,4,4,1,5,1,1,3
35,NetApp,4,3,1,10,1,1,3
36,Bloomberg L.P.,4,2,1,0.001,1,1,3
37,Workday,4,4,1,5,1,1,2.8
38,Avanade,3.9,5,1,5,0,1,2.9
39,Citrix,3.9,4,1,5,1,1,3
40,Qualcomm,3.9,4,1,10,1,1,3.1
41,Collabera,3.9,3,1,1,0,1,2.6
42,Thomson Reuters,3.7,1,1,10,0,1,2.8
43,CDW,3.9,1,1,10,1,1,2.7
44,PayPal,3.9,4,1,10,1,1,2.9
45,GE,3.9,1,1,10,1,1,2.9
46,Netflix,3.8,4,1,10,1,1,2.9
47,GoDaddy,3.8,4,1,5,0,1,2.6
48,Expedia Group,3.8,4,1,10,1,1,2.9
49,CA Technologies,3.8,3,1,0.001,0,1,2.9
51,Paychex,3.8,2,1,5,1,1,3
52,Honeywell,3.8,4,1,10,0,1,2.9
53,Uber,3.8,4,1,0.001,0,0,2.9
54,Amdocs,3.8,5,1,5,0,0,3
55,Hewlett Packard Enterprise | HPE,3.8,3,1,0.001,0,1,2.8
56,IGATE,3.8,1,1,2,0,1,2.8
57,J. Crew,3.8,3,1,5,1,1,2.2
58,Geek Squad,3.8,5,1,0.5,0,0,2.4
59,Motorola Solutions,3.7,1,1,10,0,1,2.8
60,Capgemini,3.8,3,1,10,1,1,2.8
61,NortonLifeLock,3.7,4,1,5,0,1,3
62,Visa Inc.,3.7,4,1,10,1,1,2.8
63,Infor,3.8,3,1,5,0,1,2.7
64,Finish Line,3.7,4,1,2,0,0,2.1
65,Nielsen,3.7,3,1,10,1,1,2.9
66,Tech Mahindra,3.7,5,1,5,0,1,2.8
67,eBay,3.6,4,1,10,1,1,3
68,Western Digital,3.6,4,1,10,0,1,2.8
69,Perficient,3.7,4,1,1,0,1,2.8
70,Samsung Electronics,3.6,2,1,10,0,0,2.9
